content,author,author_comment,author_url,create_datetime,license
庭で飼う 金魚がはねて 飛び出した ついに進化の 時がきたのか,平　祥盛,ギャラドスになりそうだなと思いながら、金魚は水槽に戻しました,https://x.com/minipinJ,2025/07/19 23:08:43,CC BY-NC-ND 4.0
月までは跳ねることなどできぬからウサギ「描いたシャトルの尾翼,知久,月にウサギが住んでいるというのは日本独自のものなので本当のスペースシャトルにはウサギなど描かないのでしょうが、そうだったらいいなと思って詠みました。,https://x.com/Chiku_tanka,2025/07/19 23:12:07,CC BY-NC-ND 4.0
とても美しい貴方と口づけをしてピョンピョンはねて帰路につく,そんながいちゃおじさん,,https://x.com/a110105,2025/07/19 23:14:07,CC BY-NC-ND 4.0
まなじりを跳ねる水滴、掬わない、だけど信じる、君をゆるした,tanaka azusa,,https://x.com/azplanetaz,2025/07/19 23:23:11,CC BY-NC-ND 4.0
はね返る錠剤の行く先にホコリ僕を支える小ささ軽さ,新井宗彦,,https://x.com/mukadeyakata,2025/07/19 23:32:57,CC BY-NC-ND 4.0
あなたの語尾には鯉が住んでいる 「どういうことっ」 あ、ほらまた跳ねた,高菜嘘,世界の誰も見つけられないような、些細な「あなた」を見つけたこと。,https://x.com/deathpoemer,2025/07/19 23:41:00,CC BY-NC-ND 4.0
楽園へ永住したい人たちの切符の審査またはねられる,谷まのん,,https://x.com/tanimanon258x,2025/07/19 23:45:55,CC BY-NC-ND 4.0
天空の 羽るのトびら あけるには わらいのうずで かぎをまわして,わたしはぼく,,https://x.com/wataboku4,2025/07/19 23:54:34,CC BY-NC-ND 4.0
スペクトル揺れてはねたる水しぶき　君かもしれぬ魂の影,大賀ミシン,,https://x.com/MishinOga,2025/07/19 23:57:39,CC BY-NC-ND 4.0
あこがれた 広い世界に ぼくは今 やさしく跳ねて 飛び込んでみる,舞雫-マイナ-,,https://x.com/myna_sing,2025/07/20 0:07:33,CC BY-NC-ND 4.0
息を呑む 続いて跳ねるその姿 孫も彼女も推し活嬉し,カズアキ,何かあげたり嬉しいことを言われたりした時のこんな姿が可愛くてまた何かしようと思っちゃいますよね（笑）,https://x.com/mori_ichiyou,2025/07/20 0:25:19,CC BY-NC-ND 4.0
地を穿つはずだったあの雨粒は やわらかな葉で、ぴょんとひと跳ね,千陽,,https://x.com/Blue_Sky_SsViWe,2025/07/20 0:38:07,CC BY-NC-ND 4.0
ミニップの手持ち花火が作り出す小さな影をスキップで追う,田面木,,https://x.com/Tamonokidesu,2025/07/20 1:31:09,CC BY-NC-ND 4.0
びくりっと躰が撥ねる君の手は少し低めの体温だから,北乃銀猫,まだスキンシップに慣れていないふたりの初々しさを詠みたくて作った一首です。,https://x.com/Silbernekatze_,2025/07/20 1:14:24,CC BY-NC-ND 4.0
銀紙の端を零れる粒たちがまるで跳ねずに形成する河,Sand Pawns,,https://x.com/alen_ires,2025/07/20 1:17:49,CC BY-NC-ND 4.0
蝉騒ぎ危険を孕むあの笑みに首を刎ねるような恋に落つ,森龍夏,テーマに沿って読むのって難しいですね。どうしても作り物感が出てしまう気がします。,https://x.com/vgq3QPRWfS63624,2025/07/20 1:41:10,CC BY-NC-ND 4.0
透きとおる 頬から跳ねる 君の汗 画面越しでも ただ眩しくて,陽気なねごと,息を呑んで推しを見守る私の歌です。,https://x.com/negoto_y,2025/07/20 2:57:17,CC BY-NC-ND 4.0
「私今日、始発でいくよ」 〜ニュースです...〜  五分待ってて快速で逝く,沖田すいな,電車は今日二人の青年をはねた。,https://x.com/okita_suina,2025/07/20 3:09:28,CC BY-NC-ND 4.0
赤ヘルの寝癖はねるは棋の異能睨みの一手駒ほしいまま,佐治単騎庵,羽生善治先生の少年時代~現在までの活躍を詠みました。,https://x.com/gobugari_iyada,2025/07/20 3:13:24,CC BY-NC-ND 4.0
二画目で曲がって跳ねる永の字のようにみんなにある帰り道,亀田巧,,https://x.com/kamedatakumi,2025/07/20 3:40:59,CC BY-NC-ND 4.0
窓はねる 雨の雫の ミニシアター 数多の夜が 映し出されて,みけねこ。,１つ目のお題と２つ目のお題を入れたものになりました。雨の雫のひとつひとつが色んなものを映しているなと思ったところからできた作品です。,https://x.com/mikeneko_bunyaa,2025/07/20 4:11:25,CC BY-NC-ND 4.0
「おはよう」　 ただのあいさつ それにすら　 跳ねて転げる　私の心,詩の音色,,https://x.com/oto.wo.kanadete,2025/07/20 5:21:57,CC BY-NC-ND 4.0
筆の◯無患子の鳴る羽根の咲く打ち合うあとにお下げの跳ねる,當磨せいろ,,https://x.com/hokyouinto10,2025/07/20 5:48:49,CC BY-NC-ND 4.0
祭りの君の揺れる髪へこ帯に心が踊り振り向く笑顔に心は飛び跳ねる,フラ子,,https://x.com/FyOj742,2025/07/20 6:29:50,CC BY-NC-ND 4.0
境内の工事で今日は帰っていいらしくステップ気味の神様,麻数,会社（神社）都合の休みを貰ったら神様もちょっと跳ねながら帰るのかなぁって思い詠みました,https://x.com/umberhemp,2025/07/20 7:17:06,CC BY-NC-ND 4.0
ポッピングシャワーみたいにパチパチと跳ねる甘さが恋だと知った,こんなところにエビチリ,,https://x.com/konna_ebichiri,2025/07/20 9:05:44,CC BY-NC-ND 4.0
水面の波紋おびただしく日暮れ水音の鳴る森へ我が子と,青麦,カブトムシやクワガタを探しに訪れた夕方の森は羽虫を食べる魚のはねる音が響いていた,https://x.com/aomugiterasu,2025/07/20 9:50:56,CC BY-NC-ND 4.0
待ち合わせ場所に走って君が来る 重力無視して跳ねてる心,クェーサー,,https://x.com/quasi_stellar6,2025/07/20 9:51:19,CC BY-NC-ND 4.0
投票日飛びはね走る子供たち包んであげたい青空のごと,藤瀬こうたろー,,https://x.com/kootarogo,2025/07/20 10:07:55,CC BY-NC-ND 4.0
恋の字の四八画（しやかく）に見るこひの機微まづは見つめてそののち跳ねる,He lock key.,,https://x.com/huGaku17,2025/07/20 10:12:17,CC BY-NC-ND 4.0
｢先｣という文字をことさらはねて書くあの人が生き急いだ未来,死んでるみたいに生きてる子,,https://x.com/shinderumitaini,2025/07/20 10:12:18,CC BY-NC-ND 4.0
トラックが何かをはねる音がして こちらに転がってくるヘルメット,豆打だんす,,https://x.com/zunda_dansu,2025/07/20 10:41:34,CC BY-NC-ND 4.0
わたくしは満開となるその指に外されていくボタンとともに,春永睦月,,https://x.com/HarunagaMutsuki,2025/07/20 11:29:33,CC BY-NC-ND 4.0
ワンプッシュ跳びはねてゆく石けんの気持ちもわかる　他人の酷さ,ミミ,,https://x.com/None,2025/07/20 11:41:04,CC BY-NC-ND 4.0
髪ハネて　デートの時間迫ってる　寝癖直しに全力かける,ちえ（本当はイニシャルR）,,https://x.com/ZBOHM5zf9TP5wSg,2025/07/20 12:31:41,CC BY-NC-ND 4.0
僕は見た君が滲ませてた怒り 無情な「しかし　なにもおこらない」,ダニ杉,,https://x.com/DB65166,2025/07/20 12:31:45,CC BY-NC-ND 4.0
選挙終わり飛び跳ねる人多かろう 祭りは終わりだ 戦が始まる,よいしょ上手の高木さん,今日は参議院銀選挙の投票日。各マスコミはお祭り騒ぎするだけじゃなくて、選挙後に政治の不正や矛盾を暴いてほしい。,https://x.com/Precure_Yoisho,2025/07/20 12:45:47,CC BY-NC-ND 4.0
はねて待つ 思わぬ 君から贈り物 なんでもよくて ただ嬉しくて,じょうさん,"好きな人からのおくりものなんて、なんだって嬉しい
飛び跳ねて喜んでしまうくらい",https://x.com/motosetugekka,2025/07/20 12:46:25,CC BY-NC-ND 4.0
逃げられぬ手のひらのなか余儀なくも別れて跳ねるバッタの夫婦,木ノ下 朝陽,,https://x.com/KINOSHITA_Asahi,2025/07/20 15:17:05,CC BY-NC-ND 4.0
向日葵の光の上で跳ねる君きっと昔は神様だった,左馬　要,とても大好きな、天才ダンサーの方をイメージしました。,https://x.com/samayou_tanka,2025/07/20 12:51:45,CC BY-NC-ND 4.0
たっぷりとメイプルシロップ 髪の毛が跳ねたあなたと始める土曜,木ノ宮むじな,,https://x.com/rebelxduck,2025/07/20 12:59:03,CC BY-NC-ND 4.0
五月雨に はねる雫も 今はなく 異国の地にて 君を思わん,マルマール,,https://x.com/RSvfIetmEh0XDxB,2025/07/20 13:09:34,CC BY-NC-ND 4.0
光の飛沫散らして地獄まで深く潜む 高く跳ねるために,もりまりこ,,https://x.com/zeronokamides,2025/07/20 13:30:35,CC BY-NC-ND 4.0
透明な言葉が連なる中にただ 一滴跳ねる血 それが君の歌,本田武彦,,https://x.com/rosary702,2025/07/20 13:39:26,CC BY-NC-ND 4.0
はねる髪一本ずつの行く先を隣でそっと見届けていて,玉婆,情事が終わった後も優しく私のそばにいて欲しいという女性の願いを跳ねる髪一本ずつに込めました。,https://x.com/tamabar,2025/07/20 13:47:05,CC BY-NC-ND 4.0
十五夜のお月様とか見てなくてじっとお前を見て跳ねるうさぎうさぎ,百壁ネロ,,https://x.com/KINGakiko,2025/07/20 13:48:57,CC BY-NC-ND 4.0
願い込め書いた「党」の字いつもより最後の画が強くはねてる,さちともこ,,https://x.com/wish_on_the_sun,2025/07/20 14:02:45,CC BY-NC-ND 4.0
夏休みどこに行こうか問う親と心はねさせ空を指差す,雨宮雨霧,,https://x.com/Amamiyaamaki,2025/07/20 14:10:22,CC BY-NC-ND 4.0
大切な仕事がはねたらあなたの元へ行くんだ何があっても,ひめか,,https://x.com/pinkyhimeka1,2025/07/20 14:34:44,CC BY-NC-ND 4.0
能登輪島神主舞の兎のやうに氏子と祈る早き復興,ＨＮＫＡＧＡ（はんどるねーむかが）,能登半島地震で大きな被害を受けた輪島を含めた能登地区。被害を受けた輪島の重蔵神社の春の神事「神主舞」。「寒の仕舞」に掛けた神主舞は神主が菟の様に神前で跳ね周り、氏子がその仕草に歓声を送る全国的にも珍しい神事です（詳しくはWEBでご確認ください。）。以前のように能登の安全祈願を祈り、併せて能登半島地震からの早い復興の願いも込め舞われることでしょう。,https://x.com/Sjjt4D,2025/07/20 14:37:27,CC BY-NC-ND 4.0
水切りのような約束うれしくて向こう岸までとどいてしまう,はるかぜ,,https://x.com/spring_bird_gr,2025/07/20 16:00:24,CC BY-NC-ND 4.0
何気ない一言で轢く人身事故 きっと言葉で誰かをはねた,小夜,誰もが誰かを気付かずも傷付けて傷付けられてを起こしていると思うので,https://x.com/littlenight_com,2025/07/20 16:04:57,CC BY-NC-ND 4.0
ピアニストスタッカートを弾くたびにほんのわずかに踵(かかと)はねさす,中通りフェオ,,https://x.com/feofeo78,2025/07/20 16:06:25,CC BY-NC-ND 4.0
撥ねられた蝉の抜け殻、夏の罠、スフェーンの風がすべて攫って,ひなつじ羊,,https://x.com/hntj66__zz,2025/07/20 16:28:58,CC BY-NC-ND 4.0
一の字で飛び込み跳ねるベット上よだれ気にせず、私はねる日,イノセントスキー,"本当に疲れている時は、私は大の字というより、一の字で寝ます。手が伸びません。
その描写を思いながら作りました。
跳ねるとはねる＝は寝る、を掛けたつもりで読みました。",https://x.com/250330muzyaki,2025/07/20 16:44:32,CC BY-NC-ND 4.0
ご機嫌な君の歩きは水切りの石と一緒にとっとっちゃぽ,河鹿,,https://x.com/kazika0124,2025/07/20 16:56:14,CC BY-NC-ND 4.0
鳥になるために跳ねても浮かばない　きみを蹴っても離れられない,照屋衣,,https://x.com/koromo_GuwuGzzz,2025/07/20 17:00:50,CC BY-NC-ND 4.0
跳板をつかわずとんだとび箱の背中はクジラとおんなじにおい,きいろい,,https://x.com/kiroi_iorik,2025/07/20 17:05:04,CC BY-NC-ND 4.0
何も起こらないはずがない はね続けはね続け 昇り龍となり,ika,ポケモンのコイキングの有名な技「はねる」に着目しました。,https://x.com/nanimonaiyo222,2025/07/20 17:28:14,CC BY-NC-ND 4.0
プールへと陽キャ軍団駆け出して透明なおれは跳ね飛ばされる,ぺぺいん,居るけど居ないので右を歩いていても跳ねられます,https://x.com/tenmeiwoshiru1,2025/07/20 17:30:14,CC BY-NC-ND 4.0
明日から飛魚になる 目が合って笑ってくれた跳ねていいかな,ume,,https://x.com/buumekonbutya,2025/07/20 17:46:42,CC BY-NC-ND 4.0
左胸ゆびでなぞったその奥で5ミリ浮いたままキスしたの,まつさかゆう,,https://x.com/_yuumatsu,2025/07/20 17:33:41,CC BY-NC-ND 4.0
朝蝉や寝癖のままで起こす子のはねる心に来る夏休み,一筆居士,,https://x.com/ippitsukoji,2025/07/20 17:34:58,CC BY-NC-ND 4.0
頭では元気な犬が跳ねていてあなたが予言した春にいる,淡島けのび,,https://x.com/ktdmomi,2025/07/20 17:49:52,CC BY-NC-ND 4.0
学校の窓からスーパーボールを投げるいつまでも帰って来ず,四方山噂,"スーパーボールは、投げれば戻ってくると思っていました。でも強く投げすぎて割れちゃったことがあったんですよね。世の中の不完全さを学んだ一件です。
自身の手を離れたモノが、どこかで跳ねて飛び回っていることを祈っております。",https://x.com/tuzuru_uwasa,2025/07/20 17:58:43,CC BY-NC-ND 4.0
「跳ねる」「撥ねる」「刎ねる」「は寝る」何選ぶ「はねる」で映える君の人生,天祐　実,,https://x.com/br5_jrnori,2025/07/20 18:03:33,CC BY-NC-ND 4.0
君の待つ 神社の階段 はねあがり 浴衣乱れて 笑い合う夜,三笠山出月,,https://x.com/W4fOum0,2025/07/20 18:06:23,CC BY-NC-ND 4.0
足捥がれ首落とされど残された尻尾で海老が油をはねる,有馬由真,,https://x.com/Yuma_Yuma___,2025/07/20 18:20:25,CC BY-NC-ND 4.0
「アイシテル」空へと跳ねて幾度目か落ちる彼女を　僕はみている,井上　真改(いのうえ　しんかい),,https://x.com/meito_sk_tanka,2025/07/20 18:25:34,CC BY-NC-ND 4.0
白Tにカレーがはねる　大切なときほどキミは冗談を言う,ケムニマキコ,,https://x.com/qeiV97pW0x5342,2025/07/20 18:41:54,CC BY-NC-ND 4.0
はねるねる私ははねるそしてねるねるねるねるねを食べながらねる,松本桃英,テーマを聞いて、言葉遊びのような作品を作りたいという理由で詠んだ歌です。どのように解釈していただいても、かまいません。,https://x.com/a7bd00_97a61e_2,2025/07/20 18:42:51,CC BY-NC-ND 4.0
あおむしがサナギになった「もうすぐね羽根るんだよ」と吾子が教える,らいおん𝕏,,https://x.com/LION_IPTech,2025/07/20 18:45:11,CC BY-NC-ND 4.0
右足の跳躍　風は追いこして　あしたてんきになあれと叫ぶ,折戸みおこ,,https://x.com/_the_goldfish_,2025/07/20 18:50:58,CC BY-NC-ND 4.0
人みたく言われた嫌なことを忘れたかったからAIは寝る,曇天,,https://x.com/Donten_dondon,2025/07/20 19:00:19,CC BY-NC-ND 4.0
介錯は首を刎ねるよハム太郎そんなへけへけしてちゃだめだよ,沙々キハム,,https://x.com/matsuqing,2025/07/20 19:03:59,CC BY-NC-ND 4.0
押さえつけ続けたバネは跳ねること知らずに窓の外を夢見る,うとか,,https://x.com/utoka15_,2025/07/20 19:04:04,CC BY-NC-ND 4.0
「無理だ」って言葉はいつも風だから　はねのけたあと追い風になる,mikiの小部屋,「無理だ」と笑われた日が、いつか、あなたの風になる。,https://x.com/mikinokobeya,2025/07/20 19:11:44,CC BY-NC-ND 4.0
力抜いてはねる前には止めるもの今のあなたも止まっていいの,帯,,https://x.com/obi_wankeno_obi,2025/07/20 19:19:06,CC BY-NC-ND 4.0
るんるんと「ん」を跳ね上げる君のクセ「ごめん」の書き置きまで跳ねるのね,仙田てん,,https://x.com/TEN_57577,2025/07/20 19:21:18,CC BY-NC-ND 4.0
初めての郡上踊りの春駒に跳ねる下駄音だんだん揃う,宇祖田都子,,https://x.com/shinnsyutu2020,2025/07/20 19:38:55,CC BY-NC-ND 4.0
朝露をはね上げ駆ける袖も裾もどうせ涙でびっしょりだもの,別木れすり,,https://x.com/leslie_bekkie,2025/07/20 19:44:28,CC BY-NC-ND 4.0
白シャツでカレーうどんを食べにいくなんて　ああきみはひまわりじゃんか,yohei,,https://x.com/yohei59756876,2025/07/20 19:45:33,CC BY-NC-ND 4.0
飛び跳ねる油の音もパーティーのBGMになっちゃう夜だ,茶葉,,https://x.com/chaba_tea1,2025/07/20 19:45:36,CC BY-NC-ND 4.0
突然の逢瀬の知らせ驚きが　はねるココロへ変わる週末,かいる,,https://x.com/kaile_tanka,2025/07/20 19:48:12,CC BY-NC-ND 4.0
光って言う字はあまりかかないが最後のはねを誇張してしまう,わかば,,https://x.com/MROa7EcLqid6OEw,2025/07/20 19:50:40,CC BY-NC-ND 4.0
ケチャップがすっかり跳ねなくなってからよそゆきみたいなUNIQLOのシャツ,満月ことみ,,https://x.com/mmangetu,2025/07/20 20:00:05,CC BY-NC-ND 4.0
伏見稲荷神社の前に舞う火の粉 すずめの肉を子らは見詰める,とかげまろぅ,,https://x.com/tokagemarou,2025/07/20 20:02:21,CC BY-NC-ND 4.0
黒猫の 肉球跳ねる アスファルト 熱さやいかに 涼めと思う,龍野陸,自分のアイコンを見て、夏場の黒って暑いよなあ、猫は靴履けないよなあと思いながら書きました。涼みましょう。,https://x.com/RikuTatsuno,2025/07/20 20:13:07,CC BY-NC-ND 4.0
真夜中のシンドローム跳ねられる前に跳ねよう個人タクシー,ニャハハ猫,,https://x.com/Nyah_ahaaha,2025/07/20 20:15:41,CC BY-NC-ND 4.0
浴衣干すスーパーボール床で跳ねお祭りの日に好きと言えずに,紅生姜天ひやむぎっ,,https://x.com/RAGEs20406826,2025/07/20 20:18:50,CC BY-NC-ND 4.0
跳べるけと飛べない鳥の夢を見て襟足だけがずっとハネてる,亜麻布みゆ,,https://x.com/amanumiyu,2025/07/20 20:19:36,CC BY-NC-ND 4.0
ノーと言う大地の固さ確かめて空へと跳ねろ私は飛べる,霧山,,https://x.com/kiriyama96,2025/07/20 20:21:19,CC BY-NC-ND 4.0
恋を知りひと想うこと識るたびにはねる心が染めかえる生,一福千遥,,https://x.com/ichihukuchiharu,2025/07/20 20:38:43,CC BY-NC-ND 4.0
世界からはねられている君たちを送ってゆこうアンドロメダへ,瑞波草,,https://x.com/mizuhaso,2025/07/20 21:21:22,CC BY-NC-ND 4.0
夜更かして　寝入りか甘えか　曖昧に 目に光入(い)り　髪はねる,仁井 海夢,恋人とまだ寝たくなーいとか可愛さのような眠気との抗いのようなじゃれあいをして、気づくと目に光が入って朝になってた。ぐちゃぐちゃで寝てたので髪に寝癖がといううたです。,https://x.com/niiimiyu,2025/07/20 21:23:54,CC BY-NC-ND 4.0
撥ねられた未来の自分が砕け散り集めた欠片の視線が痛い,乃木ひかり,,https://x.com/nuttarifan,2025/07/20 21:34:35,CC BY-NC-ND 4.0
ぽろぽろと跳ねることなくゆっくりと心に沈む「好き」の二文字,大山風香,,https://x.com/fuka_o08,2025/07/20 21:42:35,CC BY-NC-ND 4.0
炎天下頭を超える白球に外野の外野の子猫が跳ねる,ウーゴ・ムラトヴィッチ,,https://x.com/hugo_muratovic,2025/07/20 21:47:07,CC BY-NC-ND 4.0
金曜の夏の18時は明るくてエンターキーを押すゆび跳ねる,ゆか氏,夏の夜は思ったよりも明るく、1週間囚われていた仕事から解放される高揚感に溢れています。残業なく帰れる最高の金曜日をよんだ歌です。,https://x.com/yukasi_oku,2025/07/20 21:47:47,CC BY-NC-ND 4.0
「ねえ待った？」呼吸整え笑う君　恋の始まり　裾の水跳ね,るーく,雨の日の待ち合わせを詠みました。,https://x.com/Luke_NandI,2025/07/20 22:20:18,CC BY-NC-ND 4.0
礼の字の最後のはねがかすれてて弱っちいのはきみのやさしさ,汐留ライス,,https://x.com/RCodome,2025/07/20 22:23:33,CC BY-NC-ND 4.0
あとさきも見ず思ひ出を葬つた大地を蹴つて月へと跳ねる,Junimond,,https://x.com/whimsin,2025/07/20 22:39:39,CC BY-NC-ND 4.0